image_id class_id view_id path
1 0 0 car_ims/000001.jpg
2 0 0 car_ims/000002.jpg
3 0 0 car_ims/000003.jpg
4 0 0 car_ims/000004.jpg
5 0 0 car_ims/000005.jpg
6 0 0 car_ims/000006.jpg
7 0 0 car_ims/000007.jpg
8 0 0 car_ims/000008.jpg
9 0 0 car_ims/000009.jpg
10 0 0 car_ims/000010.jpg
11 0 0 car_ims/000011.jpg
12 0 0 car_ims/000012.jpg
13 0 0 car_ims/000013.jpg
14 0 0 car_ims/000014.jpg
15 0 0 car_ims/000015.jpg
16 0 0 car_ims/000016.jpg
17 0 0 car_ims/000017.jpg
18 0 0 car_ims/000018.jpg
19 0 0 car_ims/000019.jpg
20 0 0 car_ims/000020.jpg
21 0 0 car_ims/000021.jpg
22 0 0 car_ims/000022.jpg
23 0 0 car_ims/000023.jpg
24 0 0 car_ims/000024.jpg
25 0 0 car_ims/000025.jpg
26 0 0 car_ims/000026.jpg
27 0 0 car_ims/000027.jpg
28 0 0 car_ims/000028.jpg
29 0 0 car_ims/000029.jpg
30 0 0 car_ims/000030.jpg
31 0 0 car_ims/000031.jpg
32 0 0 car_ims/000032.jpg
33 0 0 car_ims/000033.jpg
34 0 0 car_ims/000034.jpg
35 0 0 car_ims/000035.jpg
36 0 0 car_ims/000036.jpg
37 0 0 car_ims/000037.jpg
38 0 0 car_ims/000038.jpg
39 0 0 car_ims/000039.jpg
40 0 0 car_ims/000040.jpg
41 0 0 car_ims/000041.jpg
42 0 0 car_ims/000042.jpg
43 0 0 car_ims/000043.jpg
44 0 0 car_ims/000044.jpg
45 0 0 car_ims/000045.jpg
46 0 0 car_ims/000046.jpg
47 0 0 car_ims/000047.jpg
48 0 0 car_ims/000048.jpg
49 0 0 car_ims/000049.jpg
50 0 0 car_ims/000050.jpg
51 0 0 car_ims/000051.jpg
52 0 0 car_ims/000052.jpg
53 0 0 car_ims/000053.jpg
54 0 0 car_ims/000054.jpg
55 0 0 car_ims/000055.jpg
56 0 0 car_ims/000056.jpg
57 0 0 car_ims/000057.jpg
58 0 0 car_ims/000058.jpg
59 0 0 car_ims/000059.jpg
60 0 0 car_ims/000060.jpg
61 0 0 car_ims/000061.jpg
62 0 0 car_ims/000062.jpg
63 0 0 car_ims/000063.jpg
64 0 0 car_ims/000064.jpg
65 0 0 car_ims/000065.jpg
66 0 0 car_ims/000066.jpg
67 0 0 car_ims/000067.jpg
68 0 0 car_ims/000068.jpg
69 0 0 car_ims/000069.jpg
70 0 0 car_ims/000070.jpg
71 0 0 car_ims/000071.jpg
72 0 0 car_ims/000072.jpg
73 0 0 car_ims/000073.jpg
74 0 0 car_ims/000074.jpg
75 0 0 car_ims/000075.jpg
76 0 0 car_ims/000076.jpg
77 0 0 car_ims/000077.jpg
78 0 0 car_ims/000078.jpg
79 0 0 car_ims/000079.jpg
80 0 0 car_ims/000080.jpg
81 0 0 car_ims/000081.jpg
82 0 0 car_ims/000082.jpg
83 0 0 car_ims/000083.jpg
84 0 0 car_ims/000084.jpg
85 0 0 car_ims/000085.jpg
86 0 0 car_ims/000086.jpg
87 0 0 car_ims/000087.jpg
88 0 0 car_ims/000088.jpg
89 0 0 car_ims/000089.jpg
90 1 0 car_ims/000090.jpg
91 1 0 car_ims/000091.jpg
92 1 0 car_ims/000092.jpg
93 1 0 car_ims/000093.jpg
94 1 0 car_ims/000094.jpg
95 1 0 car_ims/000095.jpg
96 1 0 car_ims/000096.jpg
97 1 0 car_ims/000097.jpg
98 1 0 car_ims/000098.jpg
99 1 0 car_ims/000099.jpg
100 1 0 car_ims/000100.jpg
101 1 0 car_ims/000101.jpg
102 1 0 car_ims/000102.jpg
103 1 0 car_ims/000103.jpg
